ID,Flood depth RP 30000,Flood depth RP 3000,Flood depth RP 300,Flood depth RP 30,Flood depth RP 10,area,Property_value:income
1127752,2.50136256217956,2.24323749542236,1.95318746566773,0,0,26.064272822363,19.111986579186
1127780,0,0,0,0,0,45.0274880730931,33.0170250139899
1127782,0,0,0,0,0,18.7502910483373,13.7489088344789
1127799,2.37678742408752,2.06047487258911,1.64022505283356,0,0,48.6773510120207,35.69333722036
1127916,2.50950002670288,2.20539999008179,1.8121999502182,0,0,30.7887896998453,22.5763035686133
1127979,2.54119992256165,2.22989988327026,1.82079994678497,0,0,45.4481758782402,33.3255001339672
1127985,0,0,0,0,0,47.7708457557906,35.0286297716195
1127991,2.32015776634216,2.06018280982971,1.7675187587738,0,0,42.28068053462,31.0028906021577
1128072,0,0,0,0,0,6.70322713434608,4.91523350380751
1128102,0,0,0,0,0,46.2680452210666,33.9266806074673
1128105,0,0,0,0,0,9.35947908505902,6.86296678525956
1128126,2.55126237869263,2.2957124710083,2.00964999198914,0,0,72.6587173795794,53.2780039897349
1128130,0,0,0,0,0,20.0416424140671,14.6958099868359
1128172,2.33496236801147,2.07512497901916,1.78266251087189,0,0,50.3920486998708,36.9506628868346
1128189,0,0,0,0,0,12.733056454454,9.33668879726992
1128225,0,0,0,0,0,15.6535373599281,11.4781715944535
1128242,0,0,0,0,0,17.119525400037,12.5531274905478
1128251,2.53777503967285,2.2798376083374,1.99012506008148,0,0,57.9903704923422,42.5222368613617
1128257,2.11287498474121,1.79816246032715,1.38188755512238,0,0,51.2217619254544,37.5590615227759
1128291,1.82829999923706,1.56679999828339,1.27154994010925,0,0,61.6641344698862,45.2160748330727
1128310,2.33240008354187,2.07299995422363,1.78120005130768,0,0,62.939719638622,46.1514152046088
1128320,2.55489993095398,2.29690003395081,2.00710010528564,0,0,17.1883765297697,12.6036135285194
1128334,2.5358874797821,2.27771258354187,1.98756241798401,0,0,16.9064782654426,12.396907748495
1128339,2.4143500328064,2.15443754196167,1.86173748970032,0,0,31.6074976825291,23.1766324588136
1128361,2.34739208221435,2.08749222755432,1.79491877555847,0,0,57.1358626816441,41.8956572548184
1128402,1.88913750648498,1.62776255607605,1.33268749713898,0,0,250.30771095091,183.541572211293
1128408,2.52834987640381,2.27031254768372,1.98043751716614,0,0,22.9539193953957,16.8312771437891
1128411,0,0,0,0,0,66.6753570104494,48.8906226937897
1128427,0,0,0,0,0,59.4719629951774,43.6086349444003
1128453,0,0,0,0,0,26.5646403699203,19.4788879663358
1128459,2.54605007171631,2.28803753852844,1.99821257591248,0,0,29.7997350255226,21.8510656235317
1128520,0,0,0,0,0,19.2699514170546,14.1299569481304
1128565,1.99086260795593,1.73042500019074,1.43681252002716,0,0,111.784882766916,81.967802967599
1128568,2.19292497634888,1.87653756141663,1.45621252059937,0,0,47.4601973115678,34.8008425267079
1128575,0,0,0,0,0,20.4610172760796,15.0033223731992
1128582,0,0,0,0,0,4.99816749417364,3.66497506837063
1128593,0,0,0,0,0,55.136830461906,40.4298393816179
1128594,2.19292497634888,1.87653756141663,1.45621252059937,0,0,22.4260961895883,16.4442435175557
1128645,0,0,0,0,0,25.2144429630818,18.4888371448677
1128653,0,0,0,0,0,28.0011552582012,20.5322322684286
1128689,2.28640007972717,1.98310005664825,1.59109997749329,0,0,71.0682980317812,52.1118071256383
1128691,0,0,0,0,0,60.3756545988228,44.2712792436793
1128694,0,0,0,0,0,7.287590149754,5.3437257231748
1128697,0,0,0,0,0,43.5817281144832,31.9569016369061
1128777,2.31299996376038,1.99409997463226,1.5677000284195,0,0,90.4366702090079,66.3139324500109
1128811,0,0,0,0,0,73.6774497878096,54.025003541442
1128820,2.07284998893738,1.7589750289917,1.34472513198853,0,0,56.1571350776958,41.1779917761449
1128824,0,0,0,0,0,55.6425481895793,40.8006638619332
1128825,1.99279999732971,1.68060004711151,1.27040004730225,0,0,49.5697036049275,36.3476670340391
1128860,2.4841001033783,2.2260000705719,1.93599998950958,0,0,56.9593292265127,41.7662116705029
1128878,0,0,0,0,0,60.1674240938849,44.1185913615783
1128886,2.29291248321533,2.03302502632141,1.74061250686646,0,0,51.6680884693247,37.8863366006006
1128887,2.43280005455017,2.12949991226196,1.73720002174377,0,0,55.805041428325,40.9198142644509
1128946,0,0,0,0,0,52.8962475204104,38.7869011189906
1129018,1.68508124351502,1.42439377307892,1.13040614128113,0,0,77.9365884012713,57.1480755171747
1129030,1.67519998550415,1.41449999809265,1.12049996852875,0,0,78.8162770095844,57.7931192899485
1129037,0,0,0,0,0,83.9786858331121,61.5785265723216
1129065,1.98560619354248,1.72429370880127,1.42928123474121,0,0,172.72192461222,126.650727132032
1129181,0,0,0,0,0,94.1299989080441,69.0221165228824
1129229,1.67519998550415,1.41449999809265,1.12049996852875,0,0,78.6338265960572,57.6593350144974
1129234,1.83329999446869,1.57280004024506,1.27900004386902,0,0,53.5529530424763,39.2684394764863
1129296,2.55489993095398,2.29690003395081,2.00710010528564,0,0,69.5169005703214,50.9742235964725
1129336,2.4841001033783,2.2260000705719,1.93599998950958,0,0,53.6151431719235,39.3140412443719
1129368,2.19525003433227,1.89138746261597,1.49864995479584,0,0,58.7903995340342,43.1088691611378
1129433,2.4841001033783,2.2260000705719,1.93599998950958,0,0,53.0806438791366,38.9221122855266
1140977,1.38119924068451,1.07893753051758,0.688227355480194,0,0,101.073569784682,22.4242472431008
1140978,1.43064999580383,1.12802505493164,0.736250042915344,0,0,75.1911384660578,16.6819543728893
1140983,1.50263750553131,1.20798754692078,0.831462502479553,0,0,728.7928604217,161.690453062236
1141005,0.558499991893768,0.250400006771088,0,0,0,400.393854194901,88.8316381840627
1141072,0,0,0,0,0,57.0069637802277,12.6476016738062
1141075,1.42435622215271,1.11544215679169,0.718217194080353,0,0,1416.95477391265,314.36649808845
1141077,1.31726253032684,1.01281869411469,0.617718756198883,0,0,1129.00479097521,250.481729550134
1141078,1.43427491188049,1.12536251544952,0.727931261062622,0,0,773.463702260597,171.601154782645
1141086,1.49773740768433,1.18883752822876,0.789687514305115,0,0,1605.19229694819,356.128996098267
1141095,1.4985625743866,1.19043743610382,0.791137456893921,0,0,2535.46643870304,562.520215909875
1141106,1.33716249465942,1.03878748416901,0.657500028610229,0,0,1886.656718855,418.57487389224
1141108,1.30717492103577,0.999056220054626,0.601668775081635,0,0,860.569717721565,190.926551434007
1141149,1.31767499446869,1.01148748397827,0.613912463188171,0,0,4611.83002205164,1023.18357685348
1141154,1.34453439712524,1.04209685325623,0.650237500667572,0,0,3869.65452494205,858.524043402639
